algorithm,average time,total time,best time,worst time,number iterations,world file
Simple,11.373639112710952,454.9455645084381,11.30336880683899,11.715643882751465,40,star.tmj
Convolutional-(8x8),0.06077551245689392,2.431020498275757,0.05856633186340332,0.0679483413696289,40,star.tmj
Convolutional-(16x16),0.018576639890670776,0.743065595626831,0.01754450798034668,0.020028352737426758,40,star.tmj
Convolutional-(32x32),0.007908576726913452,0.3163430690765381,0.006999015808105469,0.00905609130859375,40,star.tmj
Convolutional-(64x64),0.005459439754486084,0.21837759017944336,0.003998994827270508,0.011024713516235352,40,star.tmj
Convolutional-(128x128),0.004169833660125732,0.1667933464050293,0.002998828887939453,0.0065076351165771484,40,star.tmj
ExpandingWavefront,0.6738705337047577,26.954821348190308,0.6658427715301514,0.70880126953125,40,star.tmj
Simple,6.705169278383255,268.2067711353302,6.6726977825164795,6.766926288604736,40,large-field-large-explored.tmj
Convolutional-(8x8),0.05956540703773498,2.3826162815093994,0.05806922912597656,0.06630802154541016,40,large-field-large-explored.tmj
Convolutional-(16x16),0.017988014221191406,0.7195205688476562,0.016514301300048828,0.01903080940246582,40,large-field-large-explored.tmj
Convolutional-(32x32),0.008155423402786254,0.3262169361114502,0.006510257720947266,0.013027667999267578,40,large-field-large-explored.tmj
Convolutional-(64x64),0.004586756229400635,0.1834702491760254,0.003506183624267578,0.0060117244720458984,40,large-field-large-explored.tmj
Convolutional-(128x128),0.0038354456424713134,0.15341782569885254,0.002996683120727539,0.005517482757568359,40,large-field-large-explored.tmj
ExpandingWavefront,0.30441188216209414,12.176475286483765,0.301760196685791,0.3145291805267334,40,large-field-large-explored.tmj
Simple,3.38158375620842,135.2633502483368,3.3679845333099365,3.4091956615448,40,large-field-medium-explored.tmj
Convolutional-(8x8),0.057336831092834474,2.293473243713379,0.054564476013183594,0.06572222709655762,40,large-field-medium-explored.tmj
Convolutional-(16x16),0.017409813404083253,0.6963925361633301,0.016026020050048828,0.021030426025390625,40,large-field-medium-explored.tmj
Convolutional-(32x32),0.007273465394973755,0.2909386157989502,0.006000041961669922,0.008515119552612305,40,large-field-medium-explored.tmj
Convolutional-(64x64),0.004430621862411499,0.17722487449645996,0.0030045509338378906,0.005511760711669922,40,large-field-medium-explored.tmj
Convolutional-(128x128),0.0037048697471618653,0.1481947898864746,0.0029981136322021484,0.0050008296966552734,40,large-field-medium-explored.tmj
ExpandingWavefront,0.18857914209365845,7.543165683746338,0.1858978271484375,0.19350910186767578,40,large-field-medium-explored.tmj
Simple,2.3761732161045073,95.0469286441803,2.361978530883789,2.3941783905029297,40,medium-field-large-explored.tmj
Convolutional-(8x8),0.014888978004455567,0.5955591201782227,0.01450800895690918,0.016016244888305664,40,medium-field-large-explored.tmj
Convolutional-(16x16),0.004672044515609741,0.18688178062438965,0.003998279571533203,0.005516529083251953,40,medium-field-large-explored.tmj
Convolutional-(32x32),0.0018539607524871826,0.0741584300994873,0.000997781753540039,0.002512693405151367,40,medium-field-large-explored.tmj
Convolutional-(64x64),0.0011644721031188964,0.04657888412475586,0.0,0.0025153160095214844,40,medium-field-large-explored.tmj
Convolutional-(128x128),0.0009264051914215088,0.03705620765686035,0.0,0.0015053749084472656,40,medium-field-large-explored.tmj
ExpandingWavefront,0.21101272702217103,8.44050908088684,0.1942451000213623,0.250744104385376,40,medium-field-large-explored.tmj
Simple,1.560145378112793,62.40581512451172,1.4914557933807373,1.6467440128326416,40,medium-field-medium-explored.tmj
Convolutional-(8x8),0.015141654014587402,0.6056661605834961,0.013508796691894531,0.024547576904296875,40,medium-field-medium-explored.tmj
Convolutional-(16x16),0.00463140606880188,0.1852562427520752,0.003998517990112305,0.00551152229309082,40,medium-field-medium-explored.tmj
Convolutional-(32x32),0.0019419372081756591,0.07767748832702637,0.0009982585906982422,0.0030164718627929688,40,medium-field-medium-explored.tmj
Convolutional-(64x64),0.0012650728225708009,0.05060291290283203,0.0,0.0025789737701416016,40,medium-field-medium-explored.tmj
Convolutional-(128x128),0.0010560810565948485,0.042243242263793945,0.0,0.002008676528930664,40,medium-field-medium-explored.tmj
ExpandingWavefront,0.1690656840801239,6.762627363204956,0.16367697715759277,0.22037506103515625,40,medium-field-medium-explored.tmj
